<Fri Mar 21 15:38:13 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 63
<Fri Mar 21 15:38:13 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 64
<Fri Mar 21 15:38:13 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 65
<Fri Mar 21 15:38:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 66
<Fri Mar 21 15:38:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 67
<Fri Mar 21 15:38:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 68
<Fri Mar 21 15:38:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 69
<Fri Mar 21 15:38:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 70
<Fri Mar 21 15:38:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 71
<Fri Mar 21 15:38:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 72
<Fri Mar 21 15:38:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 73
<Fri Mar 21 15:38:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 74
<Fri Mar 21 15:38:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 75
<Fri Mar 21 15:38:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 76
<Fri Mar 21 15:38:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 77
<Fri Mar 21 15:38:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 78
<Fri Mar 21 15:38:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 79
<Fri Mar 21 15:38:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 80
<Fri Mar 21 15:38:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 81
<Fri Mar 21 15:38:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 82
<Fri Mar 21 15:38:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 83
<Fri Mar 21 15:38:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 84
<Fri Mar 21 15:38:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 85
<Fri Mar 21 15:38:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 86
<Fri Mar 21 15:38:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 87
<Fri Mar 21 15:38:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 88
<Fri Mar 21 15:38:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 89
<Fri Mar 21 15:38:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 90
<Fri Mar 21 15:38:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 91
<Fri Mar 21 15:38:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 92
<Fri Mar 21 15:38:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 93
<Fri Mar 21 15:38:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 94
<Fri Mar 21 15:38:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 95
<Fri Mar 21 15:38:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 96
<Fri Mar 21 15:38:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 97
<Fri Mar 21 15:38:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 98
<Fri Mar 21 15:38:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 99
<Fri Mar 21 15:38:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 100
<Fri Mar 21 15:38:35 EDT 2014><org.apache.felix.framework>JProbe shutting down.
<Fri Mar 21 15:38:35 EDT 2014><plugins.genome>GenomeFunctionPrototype "Find peaks" removed by bundle "chiptools.jprobe"
<Fri Mar 21 15:38:35 EDT 2014><plugins.testDataAndFunction.Activator>TestPlugin stopped.
<Fri Mar 21 15:38:35 EDT 2014><plugins.functions.gui>Function menu stopped.
