<Tue May 27 15:20:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 64
<Tue May 27 15:20:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 65
<Tue May 27 15:20:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 66
<Tue May 27 15:20:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 67
<Tue May 27 15:20:14 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 68
<Tue May 27 15:20:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 69
<Tue May 27 15:20:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 70
<Tue May 27 15:20:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 71
<Tue May 27 15:20:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 72
<Tue May 27 15:20:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 73
<Tue May 27 15:20:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 74
<Tue May 27 15:20:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 75
<Tue May 27 15:20:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 76
<Tue May 27 15:20:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 77
<Tue May 27 15:20:15 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 78
<Tue May 27 15:20:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 79
<Tue May 27 15:20:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 80
<Tue May 27 15:20:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 81
<Tue May 27 15:20:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 82
<Tue May 27 15:20:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 83
<Tue May 27 15:20:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 84
<Tue May 27 15:20:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 85
<Tue May 27 15:20:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 86
<Tue May 27 15:20:16 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 87
<Tue May 27 15:20:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 88
<Tue May 27 15:20:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 89
<Tue May 27 15:20:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 90
<Tue May 27 15:20:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 91
<Tue May 27 15:20:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 92
<Tue May 27 15:20:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 93
<Tue May 27 15:20:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 94
<Tue May 27 15:20:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 95
<Tue May 27 15:20:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 96
<Tue May 27 15:20:17 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 97
<Tue May 27 15:20:18 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 98
<Tue May 27 15:20:18 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 99
<Tue May 27 15:20:18 EDT 2014><plugins.testDataAndFunction.Activator>Progress = 100
<Tue May 27 15:20:22 EDT 2014><plugins.functions.gui>dataAndFields clicked
<Tue May 27 15:20:26 EDT 2014><plugins.functions.gui>fields clicked
<Tue May 27 15:21:05 EDT 2014><plugins.functions.gui>data clicked
<Tue May 27 15:21:49 EDT 2014><org.apache.felix.framework>JProbe shutting down.
